Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
2473,Pacific,None,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot c,43,Far below average,White,Male,40,Someone else,Never married,0,25,12,Not applicable,12,Not applicable,$25000 to 29999
2474,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,24.2,Average,White,Male,28,Someone else,Never married,0,26,14,18,16,Not applicable,$8 000 to 9 999
2475,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,"Asiatic, oriental",Ballot a,20.7,Below average,Black,Male,Not applicable,Someone else,Divorced,4,55,14,Don't know,Don't know,Not applicable,$22500 to 24999
2476,Pacific,Protestant,Full-time,Heterosexual or straight,9945,Not hispanic,White,Ballot b,32,Below average,White,Male,40,Someone else,Never married,0,34,14,Not applicable,13,Not applicable,$20000 to 22499
2477,Pacific,None,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,38.3,Below average,White,Female,27,Someone else,Married,2,39,16,14,12,16,$150000 to $169999
2478,Pacific,Buddhism,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot b,78.3,Above average,White,Male,20,Self-employed,Married,0,61,20,12,12,18,$170000 or over
2479,Pacific,None,Full-time,Not applicable,25740,Not hispanic,"Other, mixed",Ballot a,57.5,Below average,White,Male,Not applicable,Someone else,Divorced,0,48,12,12,12,Not applicable,$50000 to 59999
2480,Pacific,Protestant,Full-time,Heterosexual or straight,8775,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,32.6,Above average,White,Female,89,Self-employed,Married,4,46,3,Not applicable,18,Don't know,$20000 to 22499
2481,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,67.7,Average,White,Male,Not applicable,Someone else,Married,1,73,15,12,12,12,$90000 to $109999
2482,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,86.1,Average,White,Female,Not applicable,Someone else,Widowed,5,83,12,10,10,Not applicable,$25000 to 29999
2483,Pacific,Catholic,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,43.9,Average,Other,Male,Not applicable,Someone else,Widowed,4,78,14,6,Don't know,Not applicable,$30000 to 34999
2484,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot c,45.1,Below average,White,Male,Not applicable,Someone else,Married,0,56,14,12,13,14,$110000 to $129999
2485,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,27.4,Average,White,Male,Not applicable,Someone else,Divorced,2,61,12,12,12,Not applicable,$12500 to 14999
2486,Pacific,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot c,49.4,Above average,White,Female,50,Someone else,Married,0,50,12,16,12,12,$170000 or over
2487,Pacific,Protestant,Part-time,Not applicable,9945,Not hispanic,White,Ballot a,24.2,Average,White,Female,1,Someone else,Widowed,2,57,12,18,14,Not applicable,$20000 to 22499
2488,Pacific,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,46,Above average,White,Male,Not applicable,Someone else,Married,4,78,10,12,Don't know,10,$40000 to 49999
2489,Pacific,Protestant,Full-time,Not applicable,6435,Not hispanic,White,Ballot a,26.1,Above average,White,Female,31,Someone else,Married,0,31,14,12,16,11,$22500 to 24999
2490,Pacific,Buddhism,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,60.1,Above average,White,Male,Not applicable,Self-employed,Divorced,0,73,19,16,16,Not applicable,$60000 to 74999
2491,Pacific,Protestant,Full-time,Heterosexual or straight,5265,Not hispanic,White,Ballot c,59,Average,White,Male,40,Someone else,Married,1,67,14,8,4,11,$40000 to 49999
2492,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,28.4,Below average,White,Male,Not applicable,Someone else,Widowed,Eight or more,81,10,7,8,Not applicable,$10000 to 12499
2493,Pacific,Buddhism,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,80.2,Average,White,Female,Not applicable,Someone else,Widowed,2,71,20,10,12,Not applicable,$40000 to 49999
2494,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Don't know,Ballot c,-1,Below average,White,Female,Not applicable,Not applicable,Widowed,2,55,13,Don't know,Don't know,Not applicable,$3 000 to 3 999
2495,Pacific,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot b,25.2,Below average,White,Male,Not applicable,Self-employed,Divorced,0,58,12,12,12,Not applicable,$30000 to 34999
2496,Pacific,Protestant,Full-time,Not applicable,12870,Not hispanic,White,Ballot a,43.1,Average,White,Female,40,Someone else,Married,Eight or more,37,13,12,12,12,$25000 to 29999
2497,Pacific,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,-1,Below average,White,Female,Not applicable,Not applicable,Married,3,43,6,0,3,6,$30000 to 34999
2498,Pacific,Catholic,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.3,Above average,Other,Female,4,Self-employed,Married,2,46,13,11,14,12,Refused
2499,Pacific,Protestant,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,28.7,Below average,White,Male,36,Self-employed,Married,4,42,12,12,12,13,$50000 to 59999
2500,Pacific,Protestant,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot b,38.8,Average,White,Female,16,Someone else,Married,2,45,14,12,16,12,$60000 to 74999
2501,Pacific,Catholic,Part-time,Not applicable,5265,"Mexican, mexican american, chicano/a",White,Ballot a,39.7,Below average,White,Female,Not applicable,Someone else,Married,2,49,15,Not applicable,3,13,$170000 or over
2502,Pacific,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,Black,Ballot c,62.9,Above average,Black,Female,40,Someone else,Divorced,0,50,20,17,16,Not applicable,$50000 to 59999
2503,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot b,80.9,Don't know,Other,Male,Not applicable,Someone else,Widowed,6,76,9,0,0,Not applicable,$40000 to 49999
2504,Mountain,Protestant,Part-time,Heterosexual or straight,5265,Not hispanic,White,Ballot b,20.7,Below average,White,Female,15,Self-employed,Divorced,3,63,10,Not applicable,12,Not applicable,$22500 to 24999
2505,Mountain,Protestant,Full-time,Not applicable,5265,Not hispanic,White,Ballot a,39.7,Far below average,White,Female,45,Someone else,Married,0,28,12,Not applicable,10,9,$12500 to 14999
2506,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,-1,Above average,White,Female,Not applicable,Not applicable,Married,1,51,12,Don't know,Don't know,12,$5 000 to 5 999
2507,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,20.7,Average,White,Male,Not applicable,Someone else,Married,3,35,11,Not applicable,13,13,$15000 to 17499
2508,Mountain,Catholic,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,20.5,Below average,White,Male,47,Someone else,Married,0,54,12,12,12,12,$50000 to 59999
2509,Mountain,None,Full-time,Heterosexual or straight,7605,Not hispanic,White,Ballot c,37.6,Below average,White,Female,41,Someone else,Separated,3,27,13,16,17,Not applicable,$15000 to 17499
2510,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,23.8,Average,White,Female,Not applicable,Someone else,Married,5,55,11,12,12,12,$20000 to 22499
2511,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,37.2,Above average,White,Female,Not applicable,Someone else,Married,2,57,12,12,12,12,$22500 to 24999
2512,Mountain,Catholic,Part-time,Heterosexual or straight,4212,Not hispanic,"Other, mixed",Ballot b,37.6,Average,White,Female,No answer,Someone else,Married,0,44,13,9,14,12,$60000 to 74999
2513,Mountain,None,Full-time,Not applicable,12870,Not hispanic,White,Ballot a,60.3,Below average,White,Female,40,Someone else,Never married,2,27,14,11,Not applicable,Not applicable,$25000 to 29999
2514,Mountain,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,63.1,Average,White,Male,40,Someone else,Divorced,3,35,14,14,12,Not applicable,$75000 to $89999
2515,Mountain,Protestant,Full-time,Heterosexual or straight,9945,Not hispanic,White,Ballot b,62,Below average,White,Male,40,Someone else,Married,0,27,14,16,16,12,$40000 to 49999
2516,Mountain,Protestant,Part-time,Not applicable,0,Not hispanic,White,Ballot a,-1,Far below average,White,Female,Not applicable,Not applicable,Never married,2,27,8,8,8,Not applicable,$40000 to 49999
2517,Mountain,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,67.7,Above average,White,Male,Not applicable,Someone else,Divorced,2,48,14,16,16,Not applicable,$30000 to 34999
2518,Mountain,None,Full-time,Heterosexual or straight,6435,Not hispanic,White,Ballot b,21.3,Average,White,Male,50,Someone else,Separated,0,30,12,12,15,Not applicable,$50000 to 59999
2519,Mountain,None,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,63.7,Below average,White,Female,45,Someone else,Separated,2,34,17,11,10,Not applicable,$35000 to 39999
2520,Mountain,Catholic,Full-time,Not applicable,12870,Not hispanic,White,Ballot a,46.6,Below average,White,Female,40,Someone else,Married,3,36,14,13,9,13,$50000 to 59999
2521,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Puerto rican,White,Ballot c,25.7,Average,White,Female,Not applicable,Someone else,Married,1,29,12,12,12,12,$35000 to 39999
2522,Mountain,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,41.1,Above average,White,Female,37,Someone else,Married,3,25,12,19,14,12,$40000 to 49999
2523,Mountain,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,50.1,Far below average,White,Male,Not applicable,Someone else,Married,2,67,14,Not applicable,10,12,$60000 to 74999
2524,Mountain,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,38.2,Average,White,Female,Not applicable,Someone else,Married,2,33,14,12,14,13,$60000 to 74999
2525,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,21.6,Average,White,Female,Not applicable,Someone else,Married,4,50,14,14,12,16,$75000 to $89999
2526,Mountain,Protestant,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot b,23.8,Above average,White,Female,40,Someone else,Married,1,23,13,16,12,14,$60000 to 74999
2527,Mountain,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot a,52.5,Average,Black,Male,52,Someone else,Married,2,35,13,12,14,13,$60000 to 74999
2528,Mountain,Protestant,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,52,Average,White,Male,40,Someone else,Married,4,28,13,11,12,14,$50000 to 59999
2529,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,39.7,Far below average,White,Female,Not applicable,Someone else,Married,3,62,10,10,10,16,$40000 to 49999
2530,Mountain,Other,Full-time,Bisexual,8775,Spanish,White,Ballot b,18.6,Below average,White,Female,Not applicable,Someone else,Never married,0,25,12,10,12,Not applicable,$22500 to 24999
2531,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,21.6,Average,White,Female,Not applicable,Someone else,Married,3,30,14,12,14,16,$50000 to 59999
2532,Mountain,Catholic,Full-time,Not applicable,17550,Not hispanic,White,Ballot a,50,Below average,White,Male,50,Someone else,Separated,1,54,17,Not applicable,10,Not applicable,$90000 to $109999
2533,Mountain,Catholic,Not applicable,Not applicable,0,Spanish,White,Ballot a,-1,Far below average,Other,Male,Not applicable,Someone else,Married,6,77,2,0,0,9,$90000 to $109999
2534,Mountain,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,"Other, mixed",Ballot c,61.4,Above average,White,Female,40,Someone else,Divorced,3,47,12,Don't know,10,Not applicable,$60000 to 74999
2535,Mountain,Protestant,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,83.8,Below average,White,Female,49,Someone else,Divorced,2,54,15,8,12,Not applicable,$90000 to $109999
2536,Mountain,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot b,57.8,Below average,White,Female,40,Self-employed,Married,2,55,12,10,12,12,$40000 to 49999
2537,Mountain,Catholic,Part-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,28.7,Average,White,Male,35,Self-employed,Married,1,58,8,Don't know,12,14,$75000 to $89999
2538,Mountain,Protestant,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot b,87.9,Average,White,Female,40,Someone else,Married,2,66,13,12,12,19,$170000 or over
2539,Mountain,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,38.3,Average,White,Female,65,Someone else,Married,2,60,14,12,14,12,$75000 to $89999
2540,Mountain,Protestant,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,63.7,Above average,White,Female,40,Someone else,Married,2,27,17,14,16,16,$90000 to $109999
2541,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,46.5,Average,White,Male,Not applicable,Someone else,Married,2,81,12,12,16,12,$22500 to 24999
2542,W. sou. central,None,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,32,Below average,White,Male,Not applicable,Someone else,Married,1,33,12,12,12,12,$40000 to 49999
2543,W. sou. central,Protestant,Full-time,Not applicable,17550,Not hispanic,White,Ballot b,80.9,Above average,Other,Female,45,Someone else,Married,2,34,17,12,12,12,Don't know
2544,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,21.6,Average,White,Female,Not applicable,Someone else,Widowed,2,89 or older,11,12,8,Not applicable,$40000 to 49999
2545,W. sou. central,Protestant,Full-time,Heterosexual or straight,46800,Not hispanic,"Other, mixed",Ballot b,87.9,Far below average,White,Male,60,Someone else,Married,4,58,15,8,8,12,$90000 to $109999
2546,W. sou. central,None,Full-time,Not applicable,15210,Not hispanic,White,Ballot b,49.6,Average,White,Male,45,Someone else,Never married,0,22,15,14,12,Not applicable,$170000 or over
2547,W. sou. central,Buddhism,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot b,41.8,Far below average,White,Male,57,Someone else,Married,2,40,10,Not applicable,10,12,$40000 to 49999
2548,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,59.8,Far above average,White,Female,Not applicable,Someone else,Divorced,3,57,14,16,Not applicable,Not applicable,$30000 to 34999
2549,W. sou. central,Protestant,Full-time,Not applicable,936,Not hispanic,Amer indian,Ballot b,28.4,Below average,Other,Male,48,Someone else,Married,0,29,11,8,8,11,$17500 to 19999
2550,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,24.6,Average,White,Female,Not applicable,Self-employed,Widowed,4,86,11,8,8,Not applicable,$10000 to 12499
2551,W. sou. central,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,52.4,Below average,White,Male,Not applicable,Someone else,Divorced,0,50,15,16,16,Not applicable,Under $1 000
2552,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,39.2,Average,White,Male,40,Someone else,Never married,0,58,12,16,12,Not applicable,Refused
2553,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.1,Average,White,Female,Not applicable,Someone else,Married,5,70,12,12,8,13,$40000 to 49999
2554,W. sou. central,Protestant,Full-time,Not applicable,38610,Not hispanic,White,Ballot c,26.8,Above average,White,Female,40,Someone else,Married,2,53,20,12,18,20,$110000 to $129999
2555,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,71.8,Above average,White,Female,Not applicable,Someone else,Married,1,No answer,16,16,14,12,$130000 to $149999
2556,W. sou. central,Catholic,Full-time,Not applicable,21060,"Mexican, mexican american, chicano/a",White,Ballot a,25.2,Below average,White,Male,45,Self-employed,Married,4,47,16,16,11,12,$40000 to 49999
2557,W. sou. central,None,Part-time,Not applicable,5265,Not hispanic,White,Ballot b,19.6,Average,White,Female,17,Someone else,Never married,0,19,12,10,16,Not applicable,$60000 to 74999
2558,W. sou. central,Protestant,Full-time,Not applicable,31590,Not hispanic,White,Ballot c,72.6,Below average,White,Male,60,Someone else,Married,1,55,14,14,16,14,$150000 to $169999
